,Time,User,Tweet
112,2022-11-01 13:55:03+00:00,939091,"One more week until Election Day. 

Let’s do this, America."
113,2022-11-01 01:27:00+00:00,939091,"Democrats will protect Social Security.
We’ll protect Medicare.  

Republicans like Rick Scott and Ron Johnson want to put it on the chopping block."
114,2022-10-31 22:30:02+00:00,939091,"With Election Day right around the corner, I’m heading to Florida to get out the vote for Democrats up and down the ballot. RSVP today to join.
https://t.co/pGAMrmca3g"
115,2022-10-31 20:29:01+00:00,939091,"I know which side I’m on.
https://t.co/RBiVHJqetY"
116,2022-10-31 18:22:05+00:00,939091,Make your plan to vote early or on Election Day at https://t.co/Hy8C4mIL2M.
117,2022-10-31 15:11:17+00:00,939091,"If we elect more Senate Democrats and keep control of the House, we’re going to codify Roe v Wade in January. https://t.co/7fhRz8RcQY"
118,2022-10-30 21:45:00+00:00,939091,"Nine more days. 

Know where to vote: https://t.co/Hy8C4n0lUk
Donate: https://t.co/UlQBLUUGoS
Volunteer: https://t.co/V9MzpvQJcq"
119,2022-10-30 18:01:00+00:00,939091,"We lost over 180,000 manufacturing jobs under the last guy.

We’ve created 700,000 manufacturing jobs on my watch."
120,2022-10-29 23:18:11+00:00,939091,"If we elect more Democrats to the Senate and keep the House, here is the promise I make to you and the American people: The first bill that I will send to Congress will be to codify Roe v. Wade. https://t.co/CvyB3xUzAK"
121,2022-10-29 20:44:00+00:00,939091,"The previous president made a string of broken promises in places like Wisconsin, Indiana, and Ohio, where promised investments and jobs in manufacturing never materialized, but layoffs and shuttered factories did. 

Now, Made in America isn't just a slogan. It's a reality."
122,2022-10-29 15:08:01+00:00,939091,"The final say on Roe v. Wade does not rest in the court. 

It does not rest with extremist Republicans in Congress.

If you do your part and vote, Democratic leaders in Congress will do their part. I’ll do my part. With your support, I will sign a law codifying Roe in January."
123,2022-10-29 01:21:00+00:00,939091,"Republicans are determined to hold the economy hostage. Either give in to their demands to cut Social Security and Medicare, which millions of Americans rely on, or they’ll crash the economy. 

Let me be clear: I will not cut Social Security and Medicare."
124,2022-10-28 21:37:00+00:00,939091,"In 2020, you voted and delivered the change you wanted to see in the world.

In 2022, you need to exercise your power to vote again for the future of our nation."
125,2022-10-28 16:00:47+00:00,939091,"This election is a choice between two vastly different visions for America. 

Democrats are reducing everyday costs and lowering the deficit. 
Republicans are fiscally reckless and pushing tax cuts for the wealthy."
126,2022-10-28 14:45:05+00:00,939091,"Under my watch, the economy has added nearly 700,000 manufacturing jobs. The last guy had a different track record.
https://t.co/z9hpuGhQo6"
127,2022-10-28 01:37:00+00:00,939091,"You can’t be pro-insurrection and pro-cop. 
You can’t be pro-insurrection and pro-democracy. 
You can’t be pro-insurrection and pro-American."
128,2022-10-27 23:00:10+00:00,939091,"I want to remind us how we felt when Roe v. Wade was overturned.

Anger.
Worry.
Disbelief.
 
The unbelievable fact that the Supreme Court didn’t just fail to preserve a constitutional freedom—it took away a right. 

If you care about the right to choose, you have to vote."
129,2022-10-27 21:20:01+00:00,939091,"While Republicans have boldly stated that they want to cut Social Security and Medicare, Democrats will protect these programs. 

The choice couldn't be clearer."
130,2022-10-27 19:30:05+00:00,939091,"Today, we got further evidence that our economic recovery is continuing to power forward. This is a testament to the resilience of the American people.

The Third Quarter GDP report shows that Americans’ incomes were up and price increases in the economy came down."
131,2022-10-27 17:39:01+00:00,939091,"The extreme Republicans who have spent decades trying to overturn Roe v. Wade have no clue about the power of women. 

They’re about to find out. 

Make a plan to vote at https://t.co/Hy8C4mIL2M today."
132,2022-10-27 14:01:00+00:00,939091,"In states across the country, many voters are already able to cast their ballot in the midterm elections. 

Head to https://t.co/Hy8C4n0lUk for more information. https://t.co/4Dq1uMBFgT"
133,2022-10-27 01:30:01+00:00,939091,"Marjorie Taylor Greene got $180,000 in business loans forgiven from the PPP program but said it's ""completely unfair"" for us to forgive student loans for working- and middle-class Americans. 

You can’t make this stuff up."
134,2022-11-11 20:32:43+00:00,216776631,"Let's be clear. Eli Lilly should apologize for increasing the price of insulin by over 1,200% since 1996 to $275 while it costs less than $10 to manufacture. The inventors of insulin sold their patents in 1923 for $1 to save lives, not to make Eli Lilly's CEO obscenely rich. https://t.co/5ZpZkqY0f9"
135,2022-11-11 02:35:11+00:00,216776631,Congratulations to @TinaKotek on her victory in Oregon. She understands that together we must stand with working families and take on special interests to address the existential threat of climate change. https://t.co/LMUVKya8LP
136,2022-11-11 01:17:13+00:00,216776631,I want to especially thank young people who overwhelmingly came out to vote in this midterm election. There is no doubt that your votes were decisive in critical races up and down the ballot. https://t.co/yU1jUCtDNJ
137,2022-11-10 03:07:08+00:00,216776631,Congratulations and thank you to everyone who helped us in this midterm election. https://t.co/brQ3Lp7iy2
138,2022-11-09 20:30:39+00:00,216776631,"Without the major turnout of younger voters, we would have seen a very different outcome in last night's elections. But now I am asking the younger generations: continue to stay engaged in the struggle. We have an enormous amount of work ahead of us. https://t.co/JS8ks6SwzH"
139,2022-11-09 19:07:39+00:00,216776631,Congratulations to @MaxwellFrostFL on his historic victory in Florida’s 10th District. Maxwell will be the first member of Gen Z — by far the most progressive generation in this country —elected to Congress. I look forward to working alongside him in Washington. https://t.co/HbEymSZOGh
140,2022-11-09 19:07:38+00:00,216776631,"Congratulations to @ValHoyle on her win in Oregon last night. Val knows what it means to stand up for working people and fight for raising the minimum wage, passing paid sick leave, and for workers' rights. I very much look forward to working with her in Washington. https://t.co/DMF9DsocYC"
141,2022-11-09 19:07:36+00:00,216776631,Congratulations to @Delia4Congress on her win last night. She’s been a champion of working families in Illinois and I know she will continue her fight for them in Congress. https://t.co/ngbNgJ445O
142,2022-11-09 19:07:35+00:00,216776631,I want to also congratulate @CongressJackson on his victory in Illinois's 1st District. Jonathan understands the need to take on corporate greed and to fight for an economy that works for all. https://t.co/wiJuZvYRA4
143,2022-11-09 19:07:34+00:00,216776631,Congratulations to @JasmineForUS on her victory last night in Texas's 30th District. Jasmine will be a much-needed voice for voting rights and for an economy that represents the needs of working class Texans. https://t.co/z9ufBDXYWG
144,2022-11-09 19:07:32+00:00,216776631,"Texas, thank you very much for sending @GregCasar to the United States Congress. I know Greg well enough to know that he is a future leader of the progressive movement in the United States and in Congress. Congratulations on your victory. https://t.co/k1wy1FYw22"
145,2022-11-09 19:07:31+00:00,216776631,Congratulations to @BeccaBalintVT on her historic win. I look forward to working together on behalf of Vermont's working families in Congress. https://t.co/ziQzH0wAKr
146,2022-11-09 19:07:29+00:00,216776631,Let me congratulate @SummerForPA on her resounding victory in Pennsylvania's 12th District. Summer ran a great campaign and withstood an onslaught of outside money from billionaires. She will be a great congresswoman for the working class. https://t.co/aMMAIwGA19
147,2022-11-09 19:07:28+00:00,216776631,Progressive candidates had a great election night. I want to thank everyone who got out there and helped make this happen. There will now be more strong progressives in the U.S. House than ever before. I’d like to quickly highlight a few of them.
148,2022-11-09 01:06:37+00:00,216776631,"Congratulations to my new Senate colleague @WelchForVT on his resounding victory tonight. I look forward to continuing our important work together on behalf of Vermonters. 

https://t.co/SEcFTJedZm"
149,2022-11-08 14:11:41+00:00,216776631,"If young people and working people come out to vote in strong numbers today, we can win this election. Let's get this done. No matter where you live, make sure you vote. And while you’re at it, bring two or three of your friends or family members to the polls as well."
150,2022-11-08 01:59:52+00:00,216776631,"ELECTION DAY IS TOMORROW: If young people and working people come out to vote in strong numbers tomorrow, we can win this election. Please join me for a special rebroadcast of my speech in Philadelphia on what’s at stake. https://t.co/LRlJ9WA13T"
151,2022-11-07 21:03:00+00:00,216776631,"I was not the best math student when I was in college, but I did learn this: 99% is a hell of a lot larger than 1%. https://t.co/mWxCkSFyKb"
152,2022-11-07 16:01:27+00:00,216776631,"I've got news for the election-denying Republicans across this country — in a democracy, sometimes you're gonna lose. Don't be a whiner. Have the guts to stand up and say, ""I lost."" https://t.co/1dCtEqkXC3"
153,2022-11-07 03:56:40+00:00,216776631,"THANK YOU PHILADELPHIA! We've got two days left until the midterm elections. It's going to be close. In the next few days, I am asking you to do everything you can to help us get out the vote. https://t.co/ktVmcj7WFJ"
154,2022-11-07 00:18:11+00:00,216776631,"TWO DAYS TO THE MIDTERMS: The larger the voter turnout on Tuesday — especially among younger people — the better it will be for progressives and for Democrats all over the country. Join us LIVE NOW for a rally in Philadelphia.

https://t.co/0kd5O90lYq"
155,2022-11-06 22:45:18+00:00,216776631,TWO DAYS TO THE MIDTERMS: The larger the voter turnout on Tuesday — especially among younger people — the better it will be for progressives and for Democrats all over the country. Join us LIVE NOW for a rally in Philadelphia. https://t.co/0kd5O90lYq
156,2022-11-06 21:56:43+00:00,216776631,What the establishment says to you is that you are powerless. Let's prove them wrong. Let’s transform this country. https://t.co/XDkdvu8qi0
157,2022-11-06 18:48:10+00:00,216776631,"THANK YOU to the hundreds of people who braved the rain to join us this afternoon in Pittsburgh. Make no mistake, if young people come out to vote in decent numbers this Tuesday, we're going to transform this country. Let's get it done. https://t.co/96XAJUtU9D"
158,2022-11-06 17:53:17+00:00,216776631,"At this moment, we are facing unprecedented crises. We need leaders in Congress who will stand for the needs of the working class and take on special interests — @SummerForPA is that leader, and we desperately need her in the Congress. THANK YOU PITTSBURGH! https://t.co/BYJwQhSbWv"
159,2022-11-06 17:04:46+00:00,216776631,LIVE: The most consequential midterm election in the modern history of this country is just TWO days away. It is no exaggeration to say that the future of our democracy is on the line — we must turn out and VOTE. Join us LIVE now in Pittsburgh. https://t.co/8hG24oBVpk
160,2022-11-06 15:49:13+00:00,216776631,"SEND SUMMER LEE TO CONGRESS: @SummerForPA will fight tirelessly for the needs of the working people of Pennsylvania, not the billionaires. Join us NOW as we rally in Pittsburgh to support her. https://t.co/oVPyqjXKNA"
161,2022-11-06 00:54:06+00:00,216776631,"THANK YOU to the more than 1200 people who joined us tonight in Ann Arbor. The future of this country depends, to a large degree, on whether young people stand united and take on the greed of the ruling class to create a future that works for all — not just the few. https://t.co/LjrZaB5jSf"
162,2022-11-05 23:35:31+00:00,216776631,"DESPAIR IS NOT AN OPTION: With just days to go, we must show up and vote for an agenda that says we will put the needs of this country's working class ahead of the profits of corporations. Join us LIVE from Ann Arbor, Michigan. https://t.co/s3MGnl64MT"
163,2022-11-05 22:21:07+00:00,216776631,The billionaire class are making out like bandits because many of them are bandits.
164,2022-11-05 21:40:22+00:00,216776631,"FOUR DAYS TO GO: On issue after issue, the Republican Party has nothing to offer the working class. But if we stand together we can create a government that works for all. Join our rally from Oshkosh, Wisconsin. https://t.co/DqDH6NDJP7"
165,2022-11-05 21:03:50+00:00,216776631,"Let me thank the more than 400 people, mostly UAW members from Local 578, who came out this morning in Oshkosh, Wisconsin. We are seeing some tremendous energy on the ground in Wisconsin for an agenda that speaks to the working class. THANK YOU OSHKOSH! https://t.co/INtZXLU09j"
166,2022-11-05 14:30:33+00:00,216776631,"In Wisconsin, the choice on the ballot is pretty clear. Let me tell you about Ron Johnson and the Republican agenda. https://t.co/nNm6UiB6Te"
167,2022-11-05 03:22:00+00:00,216776631,What is the Republican plan to deal with inflation? Anybody got a clue? It's to repeal the estate tax and give nearly $2 TRILLION in tax breaks to the top one-tenth of one percent! And how much would that help the other 99.9% of the country? Not. One. Bit.
168,2022-11-05 02:43:34+00:00,216776631,"THANK YOU to the more than 1,000 people who joined us tonight in Madison, Wisconsin. The billionaires have the money. We've got the people. Let's go forward in the days ahead and let's elect progressives all over this country. https://t.co/iE0j1WKJmT"
169,2022-11-05 00:50:24+00:00,216776631,"THE MOST CONSEQUENTIAL MIDTERM ELECTION IN HISTORY: Ahead of Tuesday's midterm election, we must do all that we can to turn out our friends, our neighbors, and our colleagues to vote and to protect our democracy. Join us LIVE NOW from Madison, Wisconsin. https://t.co/kDtAYrgHGE"
170,2022-11-04 22:18:30+00:00,216776631,"THANK YOU to the more than 650 people who joined us in La Crosse! I don’t know about the rest of the country, but so far I’m feeling good about the energy we’re seeing in Wisconsin. Looking forward to Madison tonight! We can win this thing. https://t.co/oXRTZIR4gW"
171,2022-11-04 21:00:27+00:00,216776631,What this moment in American political life is about is which way we will go. Do we rip each other apart? Do we have working class people fighting with each other? Or do we stand together? https://t.co/R859VkSNLr
172,2022-11-04 19:15:31+00:00,216776631,"At a time of incredible income and wealth inequality, when the top 1% has built a political and economic system that only benefits them, @TishJames has boldly stood up for the working families of New York and said, ""Enough is enough."" I’m proud to support her run for re-election. https://t.co/APKGeywfOF"
173,2022-11-04 18:28:26+00:00,216776631,"THANK YOU to the more than 600 people who came out this afternoon in Eau Claire! It was an excellent way to start the final weekend campaigning before this important midterm election. I say, especially to young people, it is absolutely critical that you vote. https://t.co/iUJRnqlBhP"
174,2022-11-04 17:32:49+00:00,216776631,"HELLO, WISCONSIN! Next Tuesday, we can elect progressive leaders up and down the ballot to build a government that works for the many, not just the privileged few. Join us LIVE NOW from Eau Claire, Wisconsin. https://t.co/V7ibB0xnrh"
175,2022-11-04 15:03:15+00:00,216776631,"In these final 5 days before the midterms, it is up to us to do all that we can to bring out everyone we can to vote. Starting today and over the weekend, I will travel to Wisconsin, Michigan, and Pennsylvania to get out the vote. I hope you'll join me there. https://t.co/3zZM0BppHH"
176,2022-11-04 13:57:15+00:00,216776631,"A message to my Republican colleagues: No. You don’t reduce inflation by giving tax breaks to billionaires and cutting benefits for the elderly, the sick, the children and the poor. You combat inflation by taking on corporate greed. https://t.co/51mnPZaXMv"
177,2022-11-03 20:14:19+00:00,216776631,"I’m proud to endorse @mercedes4nevada to represent Nevada’s 2nd congressional district. She understands that to win rural voters in Nevada and around the country, we need to stand boldly against corporate greed that is increasingly making the lives of working people harder. https://t.co/a8rx1wJXdq"
178,2022-11-03 18:00:01+00:00,216776631,"When we talk about inflation, what everybody should know is that oil and gas companies are seeing record-breaking profits while gas prices soar. Food industry profits are soaring while people can't afford to buy the groceries they need. https://t.co/UV1gnhQNMI"
179,2022-11-03 16:40:08+00:00,216776631,"RSVP to join us at a canvass launch with @SummerForPA in Pittsburgh: https://t.co/DkRx4wRWIS
RSVP to join us for a rally in Pittsburgh: https://t.co/YFR3qnEtmk
RSVP to join us for a rally in Philadelphia: https://t.co/j1jNg4hsH5"
180,2022-11-03 16:39:53+00:00,216776631,"On Sunday, I'm headed to Pennsylvania for 3 events to get out the vote. We must make sure we have the turnout we need in order to create a government that works for all, not just the few.

I hope you can join us there. https://t.co/kYAf3VXGMR"
181,2022-11-03 01:00:05+00:00,216776631,"Over the weekend, I held rallies with two strong progressives who are on the ballot in Texas next week. If you missed it, please take a minute to hear from @GregCasar and @MichelleVforTX. https://t.co/zmJlxXMAME"
182,2022-11-02 15:01:33+00:00,216776631,"Before the midterms, we must do all that we can do to make sure we have a HUGE voter turnout. This Saturday, I am heading to Michigan to rally with voters to do just that.

Join us there: https://t.co/W7Dn6aJaUK https://t.co/vQ16VKAwNV"
183,2022-11-02 01:00:01+00:00,216776631,I make no apologies for standing up for working families when we faced the worst economic downturn since the Great Depression. The truth is this election is about whether our government fights for working people or if it works only for the very rich. I know which side I’m on. https://t.co/x8j8sZmpXY
184,2022-11-01 18:08:30+00:00,216776631,"The billionaires who fund AIPAC are spending $1 million against @SummerForPA because she stands with working people and against corporate greed. Democrats must unite and condemn this Super PAC, and do everything possible to elect Summer."
185,2022-11-01 15:10:24+00:00,216776631,"RSVP to join us in Eau Claire: https://t.co/UQTWYPwsEw
RSVP to join us in La Crosse: https://t.co/H0i59cLAqU
RSVP to join us in Madison: https://t.co/pnMgWyTnuj
RSVP to join us in Oshkosh: https://t.co/AOGjo956kS"
186,2022-11-01 15:10:23+00:00,216776631,"This weekend, I am headed to Wisconsin to rally voters ahead of next week's elections. We must expand the slim Democratic majority and take on the greed of the billionaire class and create a government that works for all of us.

I hope you'll join me there. https://t.co/RqlNfRwti5"
187,2022-10-31 19:59:53+00:00,216776631,"No. I will apologize to no one for helping to pass the American Rescue Plan The problem is not that the working class got a $1,400 check 19 months ago. The problem is corporate greed, outrageously high prices and corporate profits that are at a 70-year high."
188,2022-10-31 16:05:00+00:00,216776631,"Medicare for All. Tuition-free higher education. Legalizing marijuana. Repealing all ""right-to-work"" laws. Passing the PRO Act. TEXAS: this is what we can achieve when you show up and VOTE to send @GregCasar to the U.S. Congress. https://t.co/pwjsU3Z899"
189,2022-10-30 23:33:46+00:00,216776631,"The people of Brazil have voted for democracy, workers’ rights and environmental sanity.  I congratulate @LulaOficial on his hard fought victory and look forward to a strong and prosperous relationship between the United States and Brazil. https://t.co/fwENP7kxs7"
190,2022-10-30 18:40:50+00:00,216776631,RT @MichelleVforTX: THANK YOU MCALLEN!! ❤️ https://t.co/Ko6fGhRtUg
191,2022-10-30 17:56:59+00:00,216776631,"As a United States senator, let me tell you, we desperately need @MichelleVforTX in the Congress. TEXAS, please help her get there — get out and VOTE! THANK YOU, MCALLEN! https://t.co/6GYzFDABVD"
192,2022-10-30 16:54:16+00:00,216776631,"LIVE IN MCALLEN, TX: We need @MichelleVforTX in Congress to fight for an agenda that represents the working people of Texas — good-paying union jobs, Medicare for All, and protecting a woman's right to choose. Join us now as we rally ahead of the midterms https://t.co/WLxPwBM2Y9"
193,2022-10-30 14:42:27+00:00,216776631,"You hear Republicans say it, ""OHHHH Bernie Sanders is an extremist!"" REALLY? You want to know what extremism is? The Republican agenda to give tax breaks to billionaires and cut Social Security. THAT is extremism. https://t.co/IA7S3wOM47"
194,2022-10-30 01:06:32+00:00,216776631,YOUNG PEOPLE HAVE THE POWER: The younger generations of this country can truly transform this nation. But we must do everything that we can to ensure they turn out in large numbers in this election. Join us live as we rally in Texas. https://t.co/KCZuk2QG0i
195,2022-10-30 00:45:31+00:00,216776631,"In 10 days, we need you, your neighbors, your friends, and your family to get out and vote to send @GregCasar to Congress to make Texas a state that's run for the working class. THANK YOU, AUSTIN! https://t.co/57MRtHoHpB"
196,2022-10-29 22:56:36+00:00,216776631,RT @BernieSanders: LIVE FROM TEXAS: @GregCasar is a strong progressive who is standing with the working class and when he gets to Congress…
197,2022-10-29 22:33:30+00:00,216776631,"With progressive leaders like @GregCasar in the U.S. House, we can enact an agenda that puts the needs of Texas's working families first. Let's get out and vote and send him to Congress. THANK YOU, SAN MARCOS! https://t.co/ftEJXvNAPX"
198,2022-10-29 22:22:45+00:00,216776631,LIVE FROM TEXAS: @GregCasar is a strong progressive who is standing with the working class and when he gets to Congress he is going to help us take on corporate greed and the billionaires. Join us as we rally in Austin! https://t.co/OST9hP3K97
199,2022-10-29 20:41:14+00:00,216776631,"When we talk about inflation, here’s the ugly truth. According to a recent study, corporate greed accounts for nearly 54% of the enormous rise in prices Americans are paying for gas, food, groceries and virtually everything else in society. Yeah, we need a windfall profits tax."
200,2022-10-29 18:09:23+00:00,216776631,"RT @Culinary226: 2️⃣2️⃣6️⃣👏🏾2️⃣2️⃣6️⃣👏🏿2️⃣2️⃣6️⃣👏🏻

📍 Special guest in the house of labor, U.S. Senator @BernieSanders met with hundreds of…"
201,2022-10-29 17:43:33+00:00,216776631,"I make no apologies for the fact that we got $1,400 checks to hard working Americans in the midst of a terrible economic crisis. https://t.co/Uj8dMYAJl6"
202,2022-10-29 04:22:32+00:00,216776631,"Which party controls the House and the Senate WILL control the future of our country, and it may come down to NEVADA. That is not an exaggeration — you’ve got to turn out in large numbers and vote in the upcoming election. Let's go forward and get it done. THANK YOU, LAS VEGAS! https://t.co/5ZtERdk0Sr"
203,2022-10-29 03:50:49+00:00,216776631,"RT @BernieSanders: OUR FUTURE IS NOW: Our job over the next week is to knock on doors, make phone calls, and talk to our friends and neighb…"
204,2022-10-29 03:03:26+00:00,216776631,"OUR FUTURE IS NOW: Our job over the next week is to knock on doors, make phone calls, and talk to our friends and neighbors about how we can create an economy that works for all of us, not just the top 1%. Join us as we rally LIVE in Las Vegas. https://t.co/LmMVHH1gfm"
205,2022-10-28 23:31:44+00:00,216776631,"In these next 11 days, let's get out and vote. Let's win this election. https://t.co/q5gxkF9aVv"
206,2022-10-28 21:04:40+00:00,216776631,"Exxon made a record $38 billion in profits in the last 2 quarters, up 228% from last year, by driving up prices outrageously. Now, Exxon's CEO says he's doing you a favor by spending $11.5 billion this year on dividends to enrich his wealthy shareholders. Isn't that rich. https://t.co/F6XBQowRQ1"
207,2022-10-28 20:53:50+00:00,216776631,"If we stand united, if we stand together and take on the big money interests and the unprecedented level of corporate greed in America, there is nothing, nothing that we cannot accomplish. THANK YOU RENO! https://t.co/lP175jsh0z"
208,2022-10-28 20:11:27+00:00,216776631,"RT @NextGenAmerica: “Too many Americans have fought and died to protect American democracy, and we’re not going to let them destroy that.”…"
209,2022-10-28 19:22:10+00:00,216776631,"LIVE FROM RENO, NEVADA: With your help, in just 11 days, we can elect a Democratic majority in the House and Senate who are prepared to take on corporate greed and the billionaire class. Join us live now. https://t.co/y2gemUHYhV"
210,2022-10-28 15:28:37+00:00,216776631,Let’s talk about the Republican agenda. https://t.co/y5nedWVsvj
211,2022-10-28 13:30:10+00:00,216776631,"I hold the “radical” view that it is women, not local politicians, who have the right to control their own bodies."
212,2022-10-28 04:14:38+00:00,216776631,I think Los Angeles is ready for an agenda that puts the working class first — not billionaire developers and their friends. THANK YOU LOS ANGELES! https://t.co/eethoQ5xm9
213,2022-10-28 02:54:31+00:00,216776631,A LOS ANGELES FOR WORKING FAMILIES: We must elect leaders who will stand up and take on the big money interests and build a government which puts working families first. Join me and @KarenBassLA as we rally in Los Angeles. https://t.co/xnCyTn8TUX
214,2022-10-28 02:14:40+00:00,216776631,"The Republicans have made it clear, from Mitch McConnell on down, that they want to repeal the estate tax, which mean’s Elon Musk’s family, worth over $200 billion, would get a tax break of up to $83 billion. That is obscene."
215,2022-10-27 21:49:28+00:00,216776631,"THANK YOU to everyone who joined us today in Portland, Oregon to get out the vote. With just 12 days to go, we must do everything we can to elect progressives up and down the ballot. https://t.co/SNqkUnMoKv"
216,2022-10-27 19:53:09+00:00,216776631,"THANK YOU to the 3,000+ people who joined us today in Eugene, Oregon! If we come out and vote in HUGE numbers in these midterm elections, make no mistake — YES — we can take on the billionaire class and the forces of corporate greed to finally build an economy for all. https://t.co/i18DzTHRrb"
217,2022-10-27 19:16:08+00:00,216776631,Corporate profits have never been higher. And what about working people? They continue to struggle. Not acceptable. https://t.co/Es6qlRb9cm
218,2022-10-27 18:18:19+00:00,216776631,"Here is the Republican plan to deal with inflation: Cut Social Security, Medicare and Medicaid and give billionaires a tax break of up to $1.75 trillion by completely repealing the estate tax – which only benefits the top 0.1% who inherit over $25 million in wealth."
219,2022-10-27 16:45:38+00:00,216776631,"LIVE IN OREGON: To take on corporate greed and create an economy for all, we need HUGE voter turnout in Oregon and across the country. Join me, @JeffMerkley, @RonWyden, @DeFazio4Oregon, @ValHoyle &amp; @TinaKotek as we rally ahead of Election Day. https://t.co/WqWZagBACK"
220,2022-10-27 02:15:00+00:00,216776631,This country will not be changed unless ordinary people have faith that they live in a democracy where their pain and their needs will be translated into governmental action. https://t.co/hYfXVLEobd
221,2022-10-27 00:01:00+00:00,216776631,This election is not just about you. It’s about our kids and grandkids and the kind of country we can become. We cannot fail them. I’ll be out on the road doing everything I can to help win this thing in the next two weeks. I hope you’ll do the same. https://t.co/SeUF3zfCWn
222,2022-10-26 20:00:01+00:00,216776631,I’m endorsing @TinaKotek for governor because she is standing with Oregon’s working families and she is prepared to take on powerful special interests and fight back against the climate crisis. https://t.co/pMVFuzPdXd
223,2022-10-26 15:00:02+00:00,216776631,"I am proud to endorse @ValHoyle for Congress in Oregon's 4th district. Val knows what it means to stand up for working people and fight for raising the minimum wage, passing paid sick leave, and for workers' rights. I very much look forward to working with her in Washington. https://t.co/tkmZtfkvK9"
224,2022-10-26 13:51:32+00:00,216776631,"If we have any chance to create an economy that works for all of us, not just the 1 percent, we must expand the Democratic majority in Congress and continue to push them to represent the needs of the working class, not the billionaire class. https://t.co/TptSUFupDB"
225,2022-10-25 19:05:28+00:00,216776631,"RT @MoveOn: Our tour with @BernieSanders and @nextgenamerica kicks off THIS WEEKEND in Reno &amp; Austin!

Will you be there to #VoteFightWin?…"
226,2022-10-25 01:07:00+00:00,216776631,This is not a normal midterm election. https://t.co/J2F0ktIkEb
227,2022-10-24 22:29:12+00:00,216776631,"Tired of paying $4, $5, $6 a gallon for gas. Here's why:

2nd Quarter Profits
Exxon Mobil:⬆️280% to $17.9 billion
Chevron:⬆️277% to $11.6 billion
Conoco:⬆️146% to $5.1 billion

End corporate greed. Enact a windfall profits tax. Redistribute the revenue to working class commuters."
228,2022-10-24 19:07:15+00:00,216776631,"In America today we have an oligarchy held in place by a corrupt political system. This year, the top 1% are spending $1.6 billion on ugly 30-second TV ads to buy politicians. We must end oligarchy. We must end the disastrous Citizens United decision."
229,2022-10-24 17:37:00+00:00,216776631,"What the inflation crisis is in part about is corporate greed. While gas prices are enormously high, understand that oil companies are making record profits. Can't afford your prescriptions? Well, the pharmaceutical industry is making huge profits. We must end corporate greed."
230,2022-10-23 20:22:33+00:00,216776631,"At a time when working families are struggling to put gas in the car, pay for their prescriptions drugs, and feed their families, the Democrats must have the guts to take on Big Oil, the pharmaceutical giants, and the food industry who are ripping off the American people. https://t.co/xYmdsEEu1J"
231,2022-10-21 23:53:19+00:00,216776631,"Brave workers stood together and voted no on Costco’s initial offer. Today, they won a national master agreement with higher wages, better pensions, and a flexible attendance policy. Congratulations to the more than 18,000 workers who came together for this historic victory. https://t.co/uUEQXtYnDg"
232,2022-10-21 17:41:14+00:00,216776631,Republicans want to cut Medicare and Social Security. That's not just Bernie Sanders telling you that. Listen to them in their own words. https://t.co/aC3JQhxS1h
233,2022-10-21 01:56:43+00:00,216776631,"While the American people are forced to pay by far the highest prices on the planet for their prescriptions, three pharmaceutical companies increased their profits by 90%. Yeah, you read that right. NINETY PERCENT. https://t.co/9dtJ8Xw1CS"
234,2022-11-11 22:49:38+00:00,17995040,"Social institutions are important. They shape you and connect you to society.

The Left has made government the ultimate social institution and has replaced marriage and family with atomistic individualism. Live a fuller life and get married. https://t.co/Y1kLft5cFa"
235,2022-11-11 15:08:08+00:00,17995040,RT @elizamondegreen: Trans is a belief about the self. Of course it can spread. Of course it can fall apart. Of course we shouldn't inscrib…
236,2022-11-11 15:05:40+00:00,17995040,"RT @jonallendc: 👀 
American Firearms Association — which makes NRA look a knitting club — says its members have flipped from Trump to DeSan…"
237,2022-11-11 14:59:47+00:00,17995040,"RT @Tommy_USA: The hardest thing to do in politics is to beat a sitting legislator. 

We targeted 69 anti-school choice incumbents in state…"
238,2022-11-11 14:55:44+00:00,17995040,"RT @JasonMattera: The Never Trump attacks on *DeSantis*, arguably the best GOP governor we’ve seen in decades, proves that this was never a…"
239,2022-11-11 14:43:03+00:00,17995040,Love this sculpture of John Kerry https://t.co/nJdHpWNfMJ
240,2022-11-11 14:40:07+00:00,17995040,"RT @hausfath: Global CO2 emissions from fossil fuels hit a record high in 2022.

This is up 1% from 2021, and beats the pre-pandemic highs…"
241,2022-11-11 14:38:31+00:00,17995040,RT @jtLOL: Also the first senator to be assembled from cadavers and reanimated by a mad scientist
242,2022-11-11 14:37:34+00:00,17995040,Vote count continues in NV and AZ https://t.co/fhQK8l0yWV
243,2022-11-11 14:36:26+00:00,17995040,RT @EWErickson: “McConnell funded the races of men who pledged to throw him out of the Republican leader’s slot. Lindsey Graham campaigned…
244,2022-11-11 14:34:17+00:00,17995040,"RT @guypbenson: Keep an eye on the “anti-Trump” commentators who gleefully root for him over DeSantis. A tell, and a big one."
245,2022-11-11 14:24:37+00:00,17995040,RT @libsoftiktok: A high school in Illinois. Imagine walking into your kid's school and seeing this. https://t.co/tGF5tZ04iD
246,2022-11-11 14:19:59+00:00,17995040,RT @davidharsanyi: Fewer young people voted this midterm than the last one.
